country_name,reference_year,education_expenditure,secondary_enrollment_rate,child_out_of_school,expenditure_health,health_education_exp_ratio,education_health_index_male,education_health_index_female
Albania,2022,2.74432992935181,97.3224716186523,13560.0,6.19368076,2.26,74.7,78.62
Algeria,2008,4.11142015457153,80.2112808227539,38694.0,3.98331022,0.97,58.12,60.02
Angola,2021,2.2971088886261,52.5437698364258,,3.09277129,1.35,31.79,34.39
Argentina,2010,5.01971006393433,99.2300033569336,2754.0,9.44546413,1.88,71.98,78.13
Armenia,2022,2.4918999671936,96.8645629882812,15608.0,9.96212864,4.0,69.16,75.85
Austria,2011,5.59226989746094,99.6729583740234,6683.0,10.02613258,1.79,78.04,83.53
Azerbaijan,2022,3.04690003395081,90.9729919433594,27450.0,3.97840643,1.31,65.01,69.75
Bangladesh,2022,1.71183669567108,71.8219832597133,,2.39038587,1.4,52.12,54.62
Belarus,2022,4.62823009490967,94.5358963012695,28733.0,6.65919876,1.44,65.64,74.69
Belize,2022,4.59650993347168,86.9924087524414,4353.0,4.23173904,0.92,60.54,65.34
Benin,2022,3.37785911560059,45.3651695251465,114877.0,2.67981386,0.79,26.86,28.01
Bhutan,2022,7.46982002258301,89.9895493944796,3731.0,4.38545895,0.59,63.99,67.24
Bolivia,2022,7.57550001144409,91.4673690795898,47675.0,8.43142891,1.11,59.26,64.26
Bosnia and Herzegovina,2021,4.13622999191284,84.969841003418,23643.0,9.55514336,2.31,60.67,65.98
Botswana,2007,9.04666996002197,79.3285827636719,48621.0,5.52080727,0.61,43.65,46.32
Brazil,2012,5.85510015487671,94.3209762573242,896213.0,7.73637724,1.32,66.92,73.4
Bulgaria,2021,4.73032999038696,98.7087631225586,12534.0,8.61892796,1.82,66.83,73.93
Burkina Faso,2022,5.27651214599609,33.724910736084,1240018.0,6.77182007,1.28,19.82,21.1
Burundi,2020,5.32158517837524,46.391471862793,391711.0,10.71837234,2.01,28.09,29.96
Cabo Verde,2021,6.03750085830688,86.4913024902344,6905.0,7.316607,1.21,61.42,67.36
Cameroon,2022,2.61768436431885,45.143669128418,175616.0,4.47835922,1.71,27.23,29.18
Central African Republic,2017,1.75365018844604,15.42516040802,140699.0,6.66541576,3.8,6.3,7.72
Chad,2021,2.8881299495697,24.0918598175049,785910.0,4.17851543,1.45,12.37,13.25
Chile,2014,4.75167989730835,99.8654403686523,42632.0,7.84150171,1.65,77.31,81.87
China,2012,4.29788875579834,93.3106079101562,,4.56584787,1.06,68.7,73.7
Colombia,2000,3.5112099647522,76.4044799804688,0.0,5.63529348,1.6,51.01,57.52
Comoros,2014,2.74472999572754,60.5502056158561,9423.0,5.23849726,1.91,37.8,39.95
"Congo, Dem. Rep.",2021,2.660484790802,56.8860206604004,,3.67749357,1.38,32.99,35.35
"Congo, Rep.",2018,2.77167010307312,65.6208031967423,188172.0,1.75584984,0.63,41.32,43.32
Costa Rica,2010,6.56574010848999,99.9538497924805,,8.02937698,1.22,76.59,82.0
Cote d'Ivoire,2022,3.51197004318237,55.0669403076172,438977.0,3.6424129,1.04,32.85,35.1
Croatia,2012,5.22161388397217,99.3463897705078,1695.0,7.65283728,1.47,73.42,80.07
Cyprus,2016,6.11811017990112,99.1193084716797,961.0,6.65254688,1.09,78.52,83.2
Czechia,2020,4.72159004211426,99.3292617797852,8739.0,9.15721989,1.94,74.8,80.76
Dominican Republic,2022,3.94027137756348,76.5283203125,86746.0,4.57254791,1.16,54.07,59.63
Ecuador,2022,3.59897994995117,94.7636413574219,31064.0,7.53457022,2.09,69.88,75.31
"Egypt, Arab Rep.",2014,4.25138568878174,75.6678085327148,1120588.0,4.77415323,1.12,51.13,54.72
El Salvador,2022,3.25634002685547,65.3314666748047,104750.0,9.84079742,3.02,44.01,49.76
Estonia,2003,5.27309989929199,99.0774383544922,,5.13883257,0.97,65.39,76.19
Eswatini,2016,5.43355321884155,85.9756088256836,21380.0,6.82044792,1.26,46.18,50.47
Ethiopia,2015,5.15336132049561,34.8671396485425,2942924.0,3.82316828,0.74,21.26,23.14
Fiji,2023,4.24679803848267,95.9080471414581,2020.33106255571,3.57928777,0.84,62.67,66.52
Gabon,2021,2.70079278945923,71.4352105480219,,2.69024062,1.0,46.29,49.72
"Gambia, The",2010,2.65551996231079,48.533618927002,120088.0,4.11944056,1.55,29.07,30.3
Georgia,2009,3.22237992286682,98.0209274291992,5811.0,9.56681633,2.97,65.14,73.9
Germany,2001,4.14708137512207,99.554801940918,16186.0,9.92069149,2.39,75.16,80.94
Ghana,2022,2.90529441833496,76.7830963134766,,3.6993649,1.27,48.34,51.91
Greece,2007,3.59139657020569,95.9788131713867,15171.0,8.39808273,2.34,73.9,78.7
Guatemala,2022,3.22940993309021,46.1119003295898,178653.0,7.44098806,2.3,31.68,33.99
Guinea,2021,2.04074811935425,35.9549392998814,391096.0,3.7175858,1.82,20.91,21.77
Guyana,2010,2.40938997268677,95.1177215576172,391.0,4.21897697,1.75,59.99,66.27
Honduras,2022,4.44157886505127,54.1617584228516,254633.0,8.28209972,1.86,38.01,40.81
Hungary,2021,4.68406009674072,99.6950988769531,13986.0,7.38329268,1.58,70.48,77.36
India,2022,4.12072849273682,81.1778611796872,180671.83918494,3.3058846,0.8,57.02,59.48
Indonesia,2022,0.863943338394165,98.9717306316633,345715.951791212,2.69394851,3.12,68.16,72.23
"Iran, Islamic Rep.",2020,3.20495009422302,87.0725479125977,167070.0,5.40149546,1.69,62.88,66.38
Israel,2022,6.45624446868896,96.5853729248047,38591.0,7.34161806,1.14,77.94,81.9
Italy,2007,4.10503005981445,99.8377380371094,11020.0,8.13616276,1.98,78.67,84.06
Jamaica,2022,5.35435009002686,83.871467590332,22505.0,7.77706337,1.45,57.87,62.05
Jordan,2022,3.16022992134094,90.9912719726562,21339.0,6.82820034,2.16,68.27,72.28
Kazakhstan,2022,4.45820236206055,95.764237810566,136657.0,3.74026752,0.84,66.06,74.46
Kenya,2009,4.01999998092651,57.8705596923828,466789.0,5.29172945,1.32,34.08,35.91
Kiribati,2021,14.1951599121094,86.4115524291992,878.0,11.65399933,0.82,53.87,56.84
"Korea, Rep.",2021,4.86627006530762,98.0951538085938,39299.0,8.95732689,1.84,79.07,84.95
Kyrgyz Republic,2022,7.1688437461853,94.9229409367589,37815.0,4.92258883,0.69,64.55,72.43
Lao PDR,2022,1.46083438396454,56.8832442136407,60444.0,2.01825476,1.38,37.85,40.39
